#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Bradyrhizobium	japonicum	J5	NZ_CP017637.1	8716052	8736875	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP017637.1/8716052-8736875	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001887695.1/NZ_CP017637/1/8716052/8736875
Bradyrhizobium	japonicum	J5	NZ_CP017637.1	9099452	9120799	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP017637.1/9099452-9120799	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001887695.1/NZ_CP017637/1/9099452/9120799
Bradyrhizobium	ottawaense	OO99	NZ_CP029425.1	676007	691776	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP029425.1/676007-691776	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002278135.2/NZ_CP029425/1/676007/691776
Bradyrhizobium	ottawaense	OO99	NZ_CP029425.1	797515	818862	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP029425.1/797515-818862	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002278135.2/NZ_CP029425/1/797515/818862
Rhizobium	leguminosarum	SM151C	NZ_SIQQ01000009.1	59519	85877	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIQQ01000009.1/59519-85877	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004303415.1/NZ_SIQQ01000009/1/59519/85877
Rhizobium	leguminosarum	SM151C	NZ_SIOY01000006.1	75780	104890	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIOY01000006.1/75780-104890	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004303925.1/NZ_SIOY01000006/1/75780/104890
Rhizobium	leguminosarum	SM151C	NZ_SIOA01000008.1	113976	138885	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIOA01000008.1/113976-138885	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004304815.1/NZ_SIOA01000008/1/113976/138885
Rhizobium	leguminosarum	WSM1689	NZ_CP007048.1	57134	82742	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP007048.1/57134-82742	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000517605.1/NZ_CP007048/1/57134/82742
Scytonema	hofmannii	PCC 7110	NZ_KQ976354.1	3100702	3142266	bacteriocin - lanthipeptide - nrps-like - proteusin hybrid	False	PlpA1 / PlpA2 / PlpA3	33	BGC0001745	https://antismash-db.secondarymetabolites.org/go/NZ_KQ976354.1/3100702-3142266	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000346485.2/NZ_KQ976354/1/3100702/3142266
Sinorhizobium	fredii	CCBAU 25509	NZ_CP029453.1	196621	218073	proteusin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP029453.1/196621-218073	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003177055.1/NZ_CP029453/1/196621/218073
Rhizobium	leguminosarum	SM151C	NZ_SIOI01000001.1	2242511	2269996	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIOI01000001.1/2242511-2269996	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004304285.1/NZ_SIOI01000001/1/2242511/2269996
Rhizobium	leguminosarum	SM151C	NZ_SIQA01000008.1	46275	75875	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIQA01000008.1/46275-75875	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004303735.1/NZ_SIQA01000008/1/46275/75875
Rhizobium	leguminosarum	SM151C	NZ_SIMD01000005.1	222304	248662	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIMD01000005.1/222304-248662	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004305755.1/NZ_SIMD01000005/1/222304/248662
Sporomusa	Unclassified	KB1	NZ_VLKC01000002.1	1634043	1655459	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VLKC01000002.1/1634043-1655459	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007830295.1/NZ_VLKC01000002/1/1634043/1655459
Bradyrhizobium	Unclassified	CF659	NZ_FOQJ01000015.1	72247	93726	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FOQJ01000015.1/72247-93726	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900113725.1/NZ_FOQJ01000015/1/72247/93726
Rhizobium	leguminosarum	SM151C	NZ_CP016292.1	218744	309378	bacteriocin - proteusin - t1nrps hybrid	True	bananamide 1 / bananamide 2 / bananamide 3	37	BGC0001346	https://antismash-db.secondarymetabolites.org/go/NZ_CP016292.1/218744-309378	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001679785.1/NZ_CP016292/1/218744/309378
Sinorhizobium	fredii	NGR234	NC_000914.2	107669	129169	proteusin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_000914.2/107669-129169	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000018545.1/NC_000914/2/107669/129169
Rhizobium	leguminosarum	SM151C	NZ_SIPC01000007.1	108595	138195	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIPC01000007.1/108595-138195	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004304245.1/NZ_SIPC01000007/1/108595/138195
Mesorhizobium	loti	582	NZ_CP050294.1	426339	447870	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP050294.1/426339-447870	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014189435.1/NZ_CP050294/1/426339/447870
Mesorhizobium	huakuii	7653R	NZ_CP006582.1	137599	159132	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP006582.1/137599-159132	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000709395.1/NZ_CP006582/1/137599/159132
Rhizobium	leguminosarum	SM151C	NZ_SILY01000006.1	134236	160594	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SILY01000006.1/134236-160594	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004306415.1/NZ_SILY01000006/1/134236/160594
Mesorhizobium	loti	582	NZ_AP017605.1	5284991	5306482	proteusin	False	N-tetradecanoyl tyrosine	6	BGC0001687	https://antismash-db.secondarymetabolites.org/go/NZ_AP017605.1/5284991-5306482	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002356515.1/NZ_AP017605/1/5284991/5306482
Sinorhizobium	fredii	CCBAU 83666	NZ_CP023072.1	420137	441655	proteusin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP023072.1/420137-441655	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002288485.1/NZ_CP023072/1/420137/441655
Rhizobium	leguminosarum	SM151C	NZ_CP049734.1	0	12803	bacteriocin - proteusin hybrid	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP049734.1/0-12803	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_011128975.1/NZ_CP049734/1/0/12803
Rhizobium	leguminosarum	SM151C	NZ_SIOU01000001.1	2153524	2182634	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIOU01000001.1/2153524-2182634	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004304385.1/NZ_SIOU01000001/1/2153524/2182634
Mesorhizobium	huakuii	583	NZ_CP050298.1	11159	33123	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP050298.1/11159-33123	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014189455.1/NZ_CP050298/1/11159/33123
Mesorhizobium	plurifarium	None	NZ_CCNE01000009.1	0	19986	proteusin	True	succinoglycan	33	BGC0000802	https://antismash-db.secondarymetabolites.org/go/NZ_CCNE01000009.1/0-19986	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000824765.1/NZ_CCNE01000009/1/0/19986
Rhizobium	leguminosarum	SM151C	NZ_SIPS01000008.1	18690	40160	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIPS01000008.1/18690-40160	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004304085.1/NZ_SIPS01000008/1/18690/40160
Bradyrhizobium	japonicum	SEMIA 5079	NZ_CP007569.1	118910	139348	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP007569.1/118910-139348	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000661935.1/NZ_CP007569/1/118910/139348
Bradyrhizobium	japonicum	SEMIA 5079	NZ_CP007569.1	215542	239009	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP007569.1/215542-239009	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000661935.1/NZ_CP007569/1/215542/239009
Rhizobium	leguminosarum	SM151C	NZ_SIQD01000001.1	2296321	2325431	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIQD01000001.1/2296321-2325431	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004303465.1/NZ_SIQD01000001/1/2296321/2325431
Rhizobium	leguminosarum	SM151C	NZ_SIPW01000006.1	142418	171528	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIPW01000006.1/142418-171528	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004303945.1/NZ_SIPW01000006/1/142418/171528
Rhizobium	leguminosarum	SM151C	NZ_SIPD01000008.1	42838	72438	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIPD01000008.1/42838-72438	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004303985.1/NZ_SIPD01000008/1/42838/72438
Rhizobium	leguminosarum	9B	NZ_CP050112.1	232829	262429	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP050112.1/232829-262429	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_011604545.1/NZ_CP050112/1/232829/262429
Butyrivibrio	Unclassified	OB235	NZ_FOBE01000020.1	40211	63023	proteusin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FOBE01000020.1/40211-63023	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900109475.1/NZ_FOBE01000020/1/40211/63023
Rhizobium	leguminosarum	SM151C	NZ_SIQP01000006.1	455413	480322	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIQP01000006.1/455413-480322	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004303525.1/NZ_SIQP01000006/1/455413/480322
Rhizobium	leguminosarum	SM151C	NZ_SIQO01000001.1	2177111	2206220	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIQO01000001.1/2177111-2206220	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004303255.1/NZ_SIQO01000001/1/2177111/2206220
Cystobacter	fuscus	DSM 52655	NZ_CP022098.1	3769834	3791403	bacteriocin - proteusin hybrid	False	polytheonamide A / polytheonamide B	16	BGC0000598	https://antismash-db.secondarymetabolites.org/go/NZ_CP022098.1/3769834-3791403	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002305875.1/NZ_CP022098/1/3769834/3791403
Rhizobium	leguminosarum	9B	NZ_CP050096.1	215859	245459	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP050096.1/215859-245459	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_011604525.1/NZ_CP050096/1/215859/245459
Rhizobium	leguminosarum	SM151C	NZ_SIOQ01000010.1	80538	109648	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIOQ01000010.1/80538-109648	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004304335.1/NZ_SIOQ01000010/1/80538/109648
Rhizobium	leguminosarum	3841	NC_008381.1	84711	106202	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_008381.1/84711-106202	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000009265.1/NC_008381/1/84711/106202
Rhizobium	leguminosarum	SM151C	NZ_SIOS01000008.1	33987	63094	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIOS01000008.1/33987-63094	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004304535.1/NZ_SIOS01000008/1/33987/63094
Sinorhizobium	meliloti	KH35c	NZ_CP021830.1	626472	647927	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP021830.1/626472-647927	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002197165.1/NZ_CP021830/1/626472/647927
Unclassified	Unclassified	None	NZ_CACSIO010000056.1	202042	223635	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CACSIO010000056.1/202042-223635	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_902705865.1/NZ_CACSIO010000056/1/202042/223635
Rhizobium	leguminosarum	SM151C	NZ_SIQN01000001.1	2276671	2305781	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIQN01000001.1/2276671-2305781	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004303275.1/NZ_SIQN01000001/1/2276671/2305781
Bradyrhizobium	diazoefficiens	XF7	NZ_CP029603.2	2229082	2246840	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP029603.2/2229082-2246840	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003183845.2/NZ_CP029603/2/2229082/2246840
Bradyrhizobium	diazoefficiens	XF7	NZ_CP029603.2	2372652	2393559	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP029603.2/2372652-2393559	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003183845.2/NZ_CP029603/2/2372652/2393559
Mesorhizobium	Unclassified	AA22	NZ_CP048406.1	6415627	6473496	phosphonate - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP048406.1/6415627-6473496	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001672375.2/NZ_CP048406/1/6415627/6473496
Rhizobium	etli	NXC12	NZ_CP020910.1	236817	258296	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP020910.1/236817-258296	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002119845.1/NZ_CP020910/1/236817/258296
Rhizobium	esperanzae	SEMIA 414	NZ_JACIHI010000012.1	105995	126631	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JACIHI010000012.1/105995-126631	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014198365.1/NZ_JACIHI010000012/1/105995/126631
Rhizobium	leguminosarum	SM151C	NZ_CP018231.1	224067	245552	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP018231.1/224067-245552	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001890425.1/NZ_CP018231/1/224067/245552
Thiorhodovibrio	Unclassified	970	NZ_JH603169.1	325857	355588	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JH603169.1/325857-355588	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000228725.2/NZ_JH603169/1/325857/355588
Rhizobium	leguminosarum	WSM1455	NZ_JH719385.1	1276882	1298340	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JH719385.1/1276882-1298340	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000271805.1/NZ_JH719385/1/1276882/1298340
Rhizobium	leguminosarum	SM151C	NZ_SIPX01000007.1	211585	237943	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIPX01000007.1/211585-237943	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004303915.1/NZ_SIPX01000007/1/211585/237943
Sinorhizobium	Unclassified	CCBAU 05631	NZ_CP023065.1	377379	398897	proteusin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP023065.1/377379-398897	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002288505.1/NZ_CP023065/1/377379/398897
Bradyrhizobium	Unclassified	CCGE-LA001	NZ_CP013949.1	6598925	6620458	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP013949.1/6598925-6620458	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000296215.2/NZ_CP013949/1/6598925/6620458
Kamptonema	formosum	PCC 6407	NZ_KB235904.1	468870	493649	bacteriocin - lanthipeptide - proteusin hybrid	False	PlpA1 / PlpA2 / PlpA3	33	BGC0001745	https://antismash-db.secondarymetabolites.org/go/NZ_KB235904.1/468870-493649	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000332155.1/NZ_KB235904/1/468870/493649
Pleurocapsa	Unclassified	PCC 7319	NZ_KB235920.1	20228	41677	bacteriocin - proteusin hybrid	False	PlpA1 / PlpA2 / PlpA3	100	BGC0001745	https://antismash-db.secondarymetabolites.org/go/NZ_KB235920.1/20228-41677	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000332195.1/NZ_KB235920/1/20228/41677
Sinorhizobium	arboris	LMG 14919	NZ_KE386497.1	577326	598829	proteusin	False	dactylocycline A	5	BGC0000216	https://antismash-db.secondarymetabolites.org/go/NZ_KE386497.1/577326-598829	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000427465.1/NZ_KE386497/1/577326/598829
Sinorhizobium	meliloti	SM11	NC_017325.1	934178	955636	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_017325.1/934178-955636	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000218265.1/NC_017325/1/934178/955636
Blautia	producta	PMF1	NZ_CP035945.1	328043	349438	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP035945.1/328043-349438	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004210255.1/NZ_CP035945/1/328043/349438
Synechococcus	Unclassified	MEDNS5	NZ_CP047952.1	1847013	1879331	bacteriocin - proteusin - tfua-related hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP047952.1/1847013-1879331	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014279875.1/NZ_CP047952/1/1847013/1879331
Sinorhizobium	fredii	HH103	NT_187147.1	182305	203757	proteusin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NT_187147.1/182305-203757	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000283895.1/NT_187147/1/182305/203757
Ensifer	Unclassified	WSM1721	NZ_AZUW01000026.1	58270	79758	proteusin	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_AZUW01000026.1/58270-79758	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000513895.1/NZ_AZUW01000026/1/58270/79758
Rhizobium	leguminosarum	SM151C	NZ_SILH01000006.1	68519	93428	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SILH01000006.1/68519-93428	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004306555.1/NZ_SILH01000006/1/68519/93428
Anabaena	Unclassified	YBS01	NZ_CP034058.1	3146100	3167606	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP034058.1/3146100-3167606	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009498015.1/NZ_CP034058/1/3146100/3167606
Rhizobium	indicum	JKLM13E	NZ_CP054035.1	270616	292092	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP054035.1/270616-292092	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_005860925.2/NZ_CP054035/1/270616/292092
Mesorhizobium	japonicum	MAFF 303099	NC_002678.2	4684640	4706131	proteusin	False	N-tetradecanoyl tyrosine	6	BGC0001687	https://antismash-db.secondarymetabolites.org/go/NC_002678.2/4684640-4706131	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000009625.1/NC_002678/2/4684640/4706131
Rhizobium	leguminosarum	SM151C	NZ_SILG01000005.1	58202	83092	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SILG01000005.1/58202-83092	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004306515.1/NZ_SILG01000005/1/58202/83092
Rhizobium	leguminosarum	SM151C	NZ_SIOP01000005.1	74646	99555	bacteriocin - hserlactone - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SIOP01000005.1/74646-99555	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004304595.1/NZ_SIOP01000005/1/74646/99555
Bradyrhizobium	diazoefficiens	XF7	NZ_AP014685.1	4672144	4693255	bacteriocin - proteusin hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_AP014685.1/4672144-4693255	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001549695.1/NZ_AP014685/1/4672144/4693255
