#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Cordyceps	militaris	CM01	NW_006271970.1	347589	391689	fungal-ripp	False	ustiloxin B	36	BGC0000627	https://antismash-db.secondarymetabolites.org/go/NW_006271970.1/347589-391689	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000225605.1/NW_006271970/1/347589/391689
Cladophialophora	carrionii	CBS 160.54	NW_008481827.1	1850870	1897825	fungal-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NW_008481827.1/1850870-1897825	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000365165.1/NW_008481827/1/1850870/1897825
Anthracocystis	flocculosa	PF-1	NW_006920869.1	117237	151196	fungal-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NW_006920869.1/117237-151196	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000417875.1/NW_006920869/1/117237/151196
Pestalotiopsis	fici	W106-1	NW_006917102.1	523344	558744	fungal-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NW_006917102.1/523344-558744	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000516985.1/NW_006917102/1/523344/558744
Pestalotiopsis	fici	W106-1	NW_006917105.1	284078	323664	fungal-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NW_006917105.1/284078-323664	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000516985.1/NW_006917105/1/284078/323664
Metarhizium	brunneum	ARSEF 3297	NW_014574716.1	3763999	3797846	fungal-ripp	False	ustiloxin B	10	BGC0000627	https://antismash-db.secondarymetabolites.org/go/NW_014574716.1/3763999-3797846	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000814965.1/NW_014574716/1/3763999/3797846
Pochonia	chlamydosporia	None	NC_035792.1	4538764	4582875	fungal-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_035792.1/4538764-4582875	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001653235.2/NC_035792/1/4538764/4582875
Colletotrichum	higginsianum	IMI 349063	NC_030958.1	4591244	4639507	fungal-ripp - terpene hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_030958.1/4591244-4639507	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001672515.1/NC_030958/1/4591244/4639507
Colletotrichum	higginsianum	IMI 349063	NC_030960.1	4045351	4079016	fungal-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_030960.1/4045351-4079016	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001672515.1/NC_030960/1/4045351/4079016
Talaromyces	atroroseus	IBT 11181	NW_017971433.1	482372	522407	fungal-ripp	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NW_017971433.1/482372-522407	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001907595.1/NW_017971433/1/482372/522407
Talaromyces	rugulosus	W13939	NC_049561.1	2018540	2052083	fungal-ripp	False	ustiloxin B	10	BGC0000627	https://antismash-db.secondarymetabolites.org/go/NC_049561.1/2018540-2052083	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013368755.1/NC_049561/1/2018540/2052083
